X(mm)	Y(mm)	Z(mm)	Rx(rad)	Ry(rad)	Rz(rad)	Distance(mm)
-166.431	-284.728	93.752	0.42	3.03	0.21	37.0
-166.425	-284.732	93.738	0.42	3.03	0.21	37.0
-166.424	-284.730	93.741	0.42	3.03	0.21	37.0
-166.416	-284.726	93.729	0.42	3.03	0.21	37.0
-166.419	-284.728	93.732	0.42	3.03	0.21	37.0
-166.427	-284.718	93.733	0.42	3.03	0.21	37.0
-166.429	-284.732	93.746	0.42	3.03	0.21	37.0
-166.423	-284.720	93.735	0.42	3.03	0.21	37.0
-166.433	-284.729	93.746	0.42	3.03	0.21	37.0
-166.420	-284.720	93.726	0.42	3.03	0.21	37.0
-166.432	-284.725	93.749	0.42	3.03	0.21	37.0
-166.423	-284.730	93.741	0.42	3.03	0.21	37.0
-166.425	-284.714	93.722	0.42	3.03	0.21	37.0
-166.420	-284.722	93.731	0.42	3.03	0.21	37.0
-166.422	-284.722	93.746	0.42	3.03	0.21	37.0
-166.410	-284.730	93.734	0.42	3.03	0.21	37.0
-166.439	-284.734	93.742	0.42	3.03	0.21	37.0
-167.595	-284.673	93.710	0.42	3.03	0.21	37.0
-171.304	-284.697	93.715	0.42	3.03	0.21	37.3
-177.343	-284.748	93.873	0.42	3.03	0.21	36.9
-182.987	-284.681	93.722	0.42	3.03	0.21	38.6
-189.387	-284.695	93.724	0.42	3.03	0.21	43.5
-194.655	-284.732	93.881	0.42	3.03	0.21	36.4
-201.133	-284.700	93.683	0.42	3.03	0.21	36.2
-207.380	-284.763	93.860	0.42	3.03	0.21	36.1
-213.173	-284.742	93.748	0.42	3.03	0.21	35.7
-218.921	-284.758	93.800	0.42	3.03	0.21	35.4
-225.031	-284.717	93.796	0.42	3.03	0.21	35.0
-231.597	-284.782	93.757	0.42	3.03	0.21	34.6
-237.019	-284.706	93.784	0.42	3.03	0.21	34.2
-243.631	-284.737	93.760	0.42	3.03	0.21	33.6
-249.664	-284.712	93.742	0.42	3.03	0.21	33.1
-256.468	-284.700	93.704	0.42	3.03	0.21	32.5
-260.342	-284.296	93.771	0.42	3.03	0.21	31.9
-261.041	-283.079	93.690	0.42	3.03	0.21	31.7
-258.079	-280.895	93.638	0.42	3.03	0.21	36.6
-252.339	-277.890	93.622	0.42	3.03	0.21	41.3
-246.816	-275.626	93.775	0.42	3.03	0.21	40.7
-241.780	-274.310	93.726	0.42	3.03	0.21	41.4
-236.254	-273.635	93.729	0.42	3.03	0.21	33.9
-230.096	-273.558	93.805	0.42	3.03	0.21	31.3
-224.347	-273.550	93.715	0.42	3.03	0.21	32.0
-218.213	-273.599	93.776	0.42	3.03	0.21	32.6
-211.662	-273.554	93.696	0.42	3.03	0.21	33.2
-205.497	-273.617	93.744	0.42	3.03	0.21	33.7
-199.796	-273.629	93.816	0.42	3.03	0.21	34.2
-194.053	-273.567	93.669	0.42	3.03	0.21	34.6
-187.832	-273.634	93.781	0.42	3.03	0.21	35.0
-182.993	-273.179	93.714	0.42	3.03	0.21	35.2
-182.086	-272.184	93.706	0.42	3.03	0.21	35.6
-184.532	-270.083	93.721	0.42	3.03	0.21	35.8
-190.334	-267.128	93.746	0.42	3.03	0.21	37.8
-195.510	-264.794	93.714	0.42	3.03	0.21	36.2
-200.528	-263.461	93.825	0.42	3.03	0.21	36.5
-206.897	-262.585	93.819	0.42	3.03	0.21	36.5
-213.538	-262.505	93.738	0.42	3.03	0.21	36.4
-219.643	-262.500	93.741	0.42	3.03	0.21	36.2
-226.190	-262.485	93.696	0.42	3.03	0.21	35.9
-231.532	-262.532	93.850	0.42	3.03	0.21	35.6
-238.155	-262.492	93.678	0.42	3.03	0.21	35.2
-243.464	-262.534	93.794	0.42	3.03	0.21	34.8
-249.142	-262.492	93.691	0.42	3.03	0.21	34.5
-255.346	-262.511	93.807	0.42	3.03	0.21	35.1
-260.453	-262.166	93.715	0.42	3.03	0.21	34.7
-261.443	-261.182	93.741	0.42	3.03	0.21	34.5
-258.996	-259.028	93.790	0.42	3.03	0.21	34.0
-252.917	-255.840	93.719	0.42	3.03	0.21	33.6
-248.074	-253.709	93.582	0.42	3.03	0.21	33.2
-241.810	-252.018	93.606	0.42	3.03	0.21	32.6
-235.966	-251.406	93.790	0.42	3.03	0.21	32.2
-229.275	-251.334	93.637	0.42	3.03	0.21	31.4
-223.215	-251.369	93.776	0.42	3.03	0.21	31.3
-217.433	-251.373	93.653	0.42	3.03	0.21	31.4
-211.370	-251.377	93.774	0.42	3.03	0.21	31.8
-205.504	-251.410	93.683	0.42	3.03	0.21	32.6
-199.003	-251.385	93.779	0.42	3.03	0.21	33.0
-193.734	-251.399	93.765	0.42	3.03	0.21	33.6
-186.963	-251.393	93.702	0.42	3.03	0.21	34.0
-182.944	-250.905	93.800	0.42	3.03	0.21	33.7
-182.349	-249.769	93.802	0.42	3.03	0.21	33.7
-185.039	-247.713	93.789	0.42	3.03	0.21	34.2
-191.161	-244.449	93.686	0.42	3.03	0.21	34.2
-196.441	-242.308	93.743	0.42	3.03	0.21	34.5
-202.268	-240.876	93.759	0.42	3.03	0.21	34.8
-207.840	-240.312	93.764	0.42	3.03	0.21	35.2
-214.147	-240.309	93.875	0.42	3.03	0.21	35.6
-220.624	-240.279	93.738	0.42	3.03	0.21	35.9
-226.790	-240.282	93.789	0.42	3.03	0.21	36.3
-232.475	-240.295	93.736	0.42	3.03	0.21	36.2
-238.733	-240.293	93.807	0.42	3.03	0.21	36.2
-245.283	-240.260	93.803	0.42	3.03	0.21	36.1
-251.389	-240.242	93.688	0.42	3.03	0.21	35.8
-257.173	-240.255	93.810	0.42	3.03	0.21	35.4
-260.770	-239.769	93.726	0.42	3.03	0.21	35.0
-261.216	-238.443	93.758	0.42	3.03	0.21	34.6
-258.287	-236.404	93.610	0.42	3.03	0.21	34.5
-253.255	-233.859	93.755	0.42	3.03	0.21	34.8
-247.376	-231.292	93.842	0.42	3.03	0.21	34.1
-241.594	-229.799	93.782	0.42	3.03	0.21	33.8
-235.101	-229.137	93.701	0.42	3.03	0.21	33.4
-228.902	-229.135	93.819	0.42	3.03	0.21	33.2
-223.122	-229.119	93.659	0.42	3.03	0.21	32.7
-217.068	-229.179	93.814	0.42	3.03	0.21	32.3
-211.349	-229.142	93.701	0.42	3.03	0.21	33.0
-205.546	-229.162	93.780	0.42	3.03	0.21	32.7
-199.380	-229.153	93.686	0.42	3.03	0.21	32.4
-193.652	-229.119	93.701	0.42	3.03	0.21	32.6
-187.456	-229.150	93.716	0.42	3.03	0.21	32.8
-182.908	-228.665	93.786	0.42	3.03	0.21	33.4
-182.392	-227.414	93.794	0.42	3.03	0.21	32.6
-185.102	-225.464	93.792	0.42	3.03	0.21	32.8
-191.233	-222.244	93.731	0.42	3.03	0.21	33.0
-196.891	-219.971	93.730	0.42	3.03	0.21	33.9
-202.292	-218.624	93.719	0.42	3.03	0.21	34.1
-208.302	-218.046	93.803	0.42	3.03	0.21	33.9
-214.144	-218.080	93.808	0.42	3.03	0.21	34.2
-220.197	-218.050	93.774	0.42	3.03	0.21	34.5
-225.918	-218.072	93.748	0.42	3.03	0.21	34.8
-232.048	-218.057	93.773	0.42	3.03	0.21	35.0
-238.766	-218.065	93.842	0.42	3.03	0.21	35.3
-244.864	-218.041	93.717	0.42	3.03	0.21	35.7
-251.461	-218.108	93.867	0.42	3.03	0.21	36.1
-257.171	-218.028	93.709	0.42	3.03	0.21	36.2
-260.879	-217.469	93.720	0.42	3.03	0.21	36.0
-261.101	-216.189	93.672	0.42	3.03	0.21	36.0
-258.013	-214.026	93.752	0.42	3.03	0.21	35.6
-252.418	-211.203	93.576	0.42	3.03	0.21	35.3
-247.659	-209.171	93.696	0.42	3.03	0.21	34.8
-241.542	-207.551	93.797	0.42	3.03	0.21	34.7
-236.369	-206.930	93.683	0.42	3.03	0.21	34.4
-229.753	-206.908	93.788	0.42	3.03	0.21	34.3
-223.549	-206.898	93.736	0.42	3.03	0.21	33.9
-217.933	-206.929	93.764	0.42	3.03	0.21	33.8
-211.304	-206.929	93.771	0.42	3.03	0.21	33.5
-205.942	-206.941	93.718	0.42	3.03	0.21	33.2
-199.424	-206.925	93.805	0.42	3.03	0.21	34.2
-193.216	-206.934	93.687	0.42	3.03	0.21	33.9
-187.434	-206.937	93.781	0.42	3.03	0.21	33.5
-183.485	-206.613	93.759	0.42	3.03	0.21	33.1
-182.247	-205.374	93.809	0.42	3.03	0.21	32.8
-184.811	-203.419	93.834	0.42	3.03	0.21	32.8
-190.069	-200.584	93.701	0.42	3.03	0.21	33.1
-196.134	-198.021	93.768	0.42	3.03	0.21	33.3
-201.892	-196.493	93.788	0.42	3.03	0.21	33.8
-208.302	-195.821	93.730	0.42	3.03	0.21	34.0
-214.633	-195.862	93.868	0.42	3.03	0.21	34.3
-221.113	-195.845	93.744	0.42	3.03	0.21	33.6
-226.421	-195.835	93.797	0.42	3.03	0.21	33.9
-233.000	-195.871	93.818	0.42	3.03	0.21	34.1
-238.369	-195.866	93.792	0.42	3.03	0.21	34.2
-244.938	-195.839	93.834	0.42	3.03	0.21	34.4
-251.517	-195.848	93.846	0.42	3.03	0.21	34.5
-256.792	-195.798	93.700	0.42	3.03	0.21	35.1
-260.946	-195.274	93.762	0.42	3.03	0.21	35.0
-261.041	-193.806	93.683	0.42	3.03	0.21	35.6
-257.267	-191.386	93.750	0.42	3.03	0.21	35.8
-252.049	-188.790	93.697	0.42	3.03	0.21	36.0
-245.923	-186.434	93.585	0.42	3.03	0.21	36.0
-241.063	-185.257	93.731	0.42	3.03	0.21	35.9
-235.485	-184.673	93.742	0.42	3.03	0.21	35.6
-228.800	-184.674	93.708	0.42	3.03	0.21	35.2
-222.664	-184.641	93.665	0.42	3.03	0.21	35.3
-216.136	-184.673	93.773	0.42	3.03	0.21	34.9
-210.849	-184.672	93.699	0.42	3.03	0.21	34.6
-204.206	-184.671	93.730	0.42	3.03	0.21	34.5
-198.969	-184.716	93.810	0.42	3.03	0.21	34.3
-192.328	-184.694	93.688	0.42	3.03	0.21	34.2
-187.017	-184.709	93.815	0.42	3.03	0.21	34.5
-180.454	-184.719	93.777	0.42	3.03	0.21	34.2
-174.672	-184.717	93.744	0.42	3.03	0.21	33.8
-169.453	-184.717	93.700	0.42	3.03	0.21	33.2
-166.827	-184.691	93.863	0.42	3.03	0.21	33.0
