X(m) Y(m) Z(m)
166.124455 -326.947926 236.147295
166.125455 -326.954926 236.153295
166.127455 -326.947926 236.149295
166.117455 -326.944926 236.140295
166.128455 -326.946926 236.134295
166.122455 -326.950926 236.136295
166.121455 -326.955926 236.154295
166.124455 -326.943926 236.130295
166.130455 -326.942926 236.138295
166.130455 -326.942926 236.138295
166.124455 -326.951926 236.142295
166.122455 -326.952926 236.150295
166.118455 -326.955926 236.155295
166.124455 -326.953926 236.151295
166.119455 -326.955926 236.152295
166.116455 -326.952926 236.147295
166.121455 -326.951926 236.145295
166.130455 -326.949926 236.138295
166.122455 -326.949926 236.145295
166.129455 -326.948926 236.146295
166.115455 -326.957926 236.143295
166.120455 -326.953926 236.149295
166.125455 -326.946926 236.146295
166.124455 -326.957926 236.146295
166.128455 -326.944926 236.135295
166.113455 -326.948926 236.137295
166.114455 -326.953926 236.136295
166.109455 -326.957926 236.146295
166.130455 -326.944926 236.145295
166.115455 -326.952926 236.140295
166.132455 -326.950926 236.156295
166.124455 -326.952926 236.144295
166.127455 -326.950926 236.149295
166.128455 -326.951926 236.156295
166.123455 -326.949926 236.139295
166.118455 -326.952926 236.139295
166.166220 -327.013885 237.143086
166.080691 -326.883966 235.139503
166.070691 -326.892966 235.155503
166.119455 -326.950926 236.139295
166.171220 -327.013885 237.135086
166.116455 -326.952926 236.140295
166.157220 -327.017885 237.135086
166.175220 -327.015885 237.146086
166.142220 -327.017885 237.128086
166.214985 -327.059845 238.153878
166.148220 -326.422885 237.221086
166.065455 -324.729926 236.134295
166.080455 -321.473926 236.067295
166.128220 -317.543885 237.123086
166.081455 -312.940926 236.065295
166.110455 -309.872926 236.153295
166.141220 -307.967885 237.189086
166.106455 -306.947926 236.134295
166.108455 -307.194926 236.151295
166.198220 -308.772885 237.203086
166.174455 -311.215926 236.147295
166.150455 -314.193926 236.182295
166.172455 -316.175926 236.127295
166.135455 -316.943926 236.130295
166.144455 -317.330926 236.109295
166.142455 -318.846926 236.133295
166.132455 -321.696926 236.198295
166.124455 -324.544926 236.212295
166.128455 -326.317926 236.149295
166.131455 -326.976926 236.163295
166.121455 -326.975926 236.167295
166.135455 -326.965926 236.162295
166.113455 -326.971926 236.169295
166.121455 -326.964926 236.168295
166.124455 -326.957926 236.160295
166.128455 -326.952926 236.153295
166.127455 -326.947926 236.157295
166.120455 -326.951926 236.164295
166.113455 -326.960926 236.154295
166.127455 -326.958926 236.168295
166.137455 -326.958926 236.172295
166.133455 -326.958926 236.153295
166.125455 -326.961926 236.174295
166.125455 -326.958926 236.166295
166.121455 -326.961926 236.154295
166.125455 -326.964926 236.168295
166.114455 -326.961926 236.159295
166.131455 -326.961926 236.173295
166.149455 -326.956926 236.169295
166.112455 -326.966926 236.159295
166.122455 -326.961926 236.158295
166.116455 -326.959926 236.162295
166.131455 -326.957926 236.167295
166.132455 -326.959926 236.165295
166.125455 -326.963926 236.167295
166.114455 -326.965926 236.163295
166.119455 -326.962926 236.164295
166.136455 -326.968926 236.186295
166.121455 -326.963926 236.172295
166.138455 -326.959926 236.156295
166.124455 -326.961926 236.169295
166.131455 -326.961926 236.163295
166.118455 -326.961926 236.177295
166.127455 -326.961926 236.166295
166.121455 -326.966926 236.153295
166.121455 -326.967926 236.176295
166.116455 -326.968926 236.180295
166.118455 -326.966926 236.174295
166.131455 -326.959926 236.175295
166.132455 -326.959926 236.159295
166.126455 -326.964926 236.184295
166.117455 -326.971926 236.166295
166.127455 -326.959926 236.157295
166.134455 -326.965926 236.165295
166.133455 -326.965926 236.173295
166.113455 -326.967926 236.166295
166.121455 -326.965926 236.169295
166.119455 -326.959926 236.168295
166.114455 -326.967926 236.163295
166.124455 -326.965926 236.172295
166.121455 -326.967926 236.160295
166.128455 -326.961926 236.176295
166.114455 -326.959926 236.156295
166.107455 -326.973926 236.178295
166.120455 -326.961926 236.167295
166.130455 -326.958926 236.161295
166.119455 -326.965926 236.168295
166.125455 -326.968926 236.185295
166.125455 -326.964926 236.158295
166.131455 -326.957926 236.161295
